IMO;TYPE;BUILT;GRT;DWT;Engine power;Builder;CLASS;CAT CLASS;FLAG;INSURED VALUE
9364198;LPG;2008;4303;5024;3250;JAPAN;NKK;IACS;PANAMA;8000000
9353981;LPG;2008;4253;4970;3120;JAPAN;NKK;IACS;PANAMA;8000000
9189938;General Cargo ship;1998;29688;50655;14240;JAPAN;DNV;IACS;Panama; 6?000?000 
9674634;dredger;2013;5329;7179;5000;CHINA;BV;IACS;palau;14560000
9186962;Bulk Carrier;1999;25982;45547;6500;JAPAN;RMRS;NON IACS;Comoros;4?500?000
9200342;Bulk Carrier;1999;25955;47263;7392;JAPAN;IRS;IACS;St Kitts Nevis;5?250?000
9217917;Bulk Carrier;2002;28693;50362;8400;CHINA;IRS;IACS;Panama;6?000?000
9308118;Bulk Carrier;2005;32474;53308;9500;CHINA;NKK ;IACS;Panama; 10?000?000 
9110925;Bulk Carrier;1997;20837;34372;8600;CHINA;DNV;IACS;Barbados;2400000
9300283;Bulk Carrier;2006;31091;53800;9400;CHINA;BV;IACS;Barbados;8587500
9738387;BBU;2018;24159;38860;7044;CHINA;NKK;IACS;MHL;15200000
9966099;BBU;2023;26128;42902;6410;CHINA;LR;IACS;PANAMA;20800000
9781009;BBU;2018;35607;63597;7360;Philippines;NKK;IACS;PANAMA;20000000
9775854;BBU;2016;34157;60513;8740;JAPAN;NKK;IACS;PANAMA;17600000
9708928;BBU;2015;22468;35510;6780;Philippines;CCS;IACS;PANAMA;12800000
9708930;BBU;2015;22468;35510;6780;Philippines;CCS;IACS;PANAMA;12800000
9736963;BBU;2015;21519;34512;6840;JAPAN;CCS;IACS;PANAMA;12800000
9713909;BBU;2014;40937;77157;8330;JAPAN;NK;IACS;PANAMA;17600000
9652325;BBU;2014;22863;37052;7470;JAPAN;NKK;IACS;PANAMA;12800000
9537018;BBU;2012;21483;33125;6670;JAPAN;NKK;IACS;PANAMA;9600000
9336907;BBU;2008;42647;82331;9400;JAPAN;NK;IACS;PANAMA;10400000
9311189;BBU;2008;40033;75886;9010;JAPAN;NKK;IACS;PANAMA;10400000
9392420;BBU;2007;43158;82535;9800;JAPAN;NKK;IACS;PANAMA;11200000
